time,value,field,id
2025-10-07T13:00:00Z,11,ch2o,471409
2025-10-07T14:00:00Z,9,ch2o,471409
2025-10-07T15:00:00Z,8.5,ch2o,471409
2025-10-07T16:00:00Z,8,ch2o,471409
2025-10-07T17:00:00Z,8,ch2o,471409
2025-10-07T18:00:00Z,8,ch2o,471409
2025-10-07T19:00:00Z,8,ch2o,471409
2025-10-07T20:00:00Z,8,ch2o,471409
2025-10-07T21:00:00Z,8,ch2o,471409
2025-10-07T22:00:00Z,8,ch2o,471409
2025-10-07T23:00:00Z,8,ch2o,471409
2025-10-08T00:00:00Z,8,ch2o,471409
2025-10-08T01:00:00Z,8,ch2o,471409
2025-10-08T02:00:00Z,8,ch2o,471409
2025-10-08T03:00:00Z,8,ch2o,471409
2025-10-08T04:00:00Z,8,ch2o,471409
2025-10-08T05:00:00Z,8,ch2o,471409
2025-10-08T06:00:00Z,9,ch2o,471409
2025-10-08T07:00:00Z,9,ch2o,471409
2025-10-08T08:00:00Z,8,ch2o,471409
2025-10-08T09:00:00Z,8,ch2o,471409
2025-10-08T10:00:00Z,8,ch2o,471409
2025-10-08T11:00:00Z,8,ch2o,471409
2025-10-08T12:00:00Z,8,ch2o,471409
2025-10-08T13:00:00Z,8,ch2o,471409
2025-10-08T14:00:00Z,8.75,ch2o,471409
2025-10-08T15:00:00Z,9,ch2o,471409
2025-10-08T16:00:00Z,9.6,ch2o,471409
2025-10-08T17:00:00Z,10,ch2o,471409
2025-10-08T18:00:00Z,11.2,ch2o,471409
2025-10-08T19:00:00Z,12,ch2o,471409
2025-10-08T20:00:00Z,11.5,ch2o,471409
2025-10-08T21:00:00Z,11,ch2o,471409
2025-10-08T22:00:00Z,11.2,ch2o,471409
2025-10-08T23:00:00Z,11,ch2o,471409
2025-10-09T00:00:00Z,10.5,ch2o,471409
2025-10-09T01:00:00Z,10,ch2o,471409
2025-10-09T02:00:00Z,10,ch2o,471409
2025-10-09T03:00:00Z,10,ch2o,471409
2025-10-09T04:00:00Z,10.5,ch2o,471409
2025-10-09T05:00:00Z,12,ch2o,471409
2025-10-09T06:00:00Z,12.25,ch2o,471409
2025-10-09T07:00:00Z,13,ch2o,471409
2025-10-09T08:00:00Z,13,ch2o,471409
2025-10-09T09:00:00Z,13,ch2o,471409
2025-10-09T10:00:00Z,13,ch2o,471409
2025-10-09T11:00:00Z,13,ch2o,471409
2025-10-09T12:00:00Z,13,ch2o,471409
2025-10-09T13:00:00Z,14,ch2o,471409
2025-10-09T14:00:00Z,14,ch2o,471409
2025-10-09T15:00:00Z,14,ch2o,471409
2025-10-09T16:00:00Z,14,ch2o,471409
2025-10-09T17:00:00Z,14.25,ch2o,471409
2025-10-09T18:00:00Z,14,ch2o,471409
2025-10-09T19:00:00Z,16.25,ch2o,471409
2025-10-09T20:00:00Z,17,ch2o,471409
2025-10-09T21:00:00Z,20.8,ch2o,471409
2025-10-09T22:00:00Z,22,ch2o,471409
2025-10-09T23:00:00Z,21.25,ch2o,471409
2025-10-10T00:00:00Z,21,ch2o,471409
2025-10-10T01:00:00Z,21.4,ch2o,471409
2025-10-10T02:00:00Z,20,ch2o,471409
2025-10-07T04:00:00Z,12,ch2o,471412
2025-10-07T05:00:00Z,13,ch2o,471412
2025-10-07T06:00:00Z,13,ch2o,471412
2025-10-07T07:00:00Z,13,ch2o,471412
2025-10-07T08:00:00Z,13,ch2o,471412
2025-10-07T09:00:00Z,13,ch2o,471412
2025-10-07T10:00:00Z,13,ch2o,471412
2025-10-07T11:00:00Z,12.8,ch2o,471412
2025-10-07T12:00:00Z,13,ch2o,471412
2025-10-07T13:00:00Z,12.25,ch2o,471412
2025-10-07T14:00:00Z,12,ch2o,471412
2025-10-07T15:00:00Z,12,ch2o,471412
2025-10-07T16:00:00Z,12,ch2o,471412
2025-10-07T17:00:00Z,12,ch2o,471412
2025-10-07T18:00:00Z,12,ch2o,471412
2025-10-07T19:00:00Z,12,ch2o,471412
2025-10-07T20:00:00Z,12,ch2o,471412
2025-10-07T21:00:00Z,12,ch2o,471412
2025-10-07T22:00:00Z,12,ch2o,471412
2025-10-07T23:00:00Z,12,ch2o,471412
2025-10-08T00:00:00Z,12,ch2o,471412
2025-10-08T01:00:00Z,12,ch2o,471412
2025-10-08T02:00:00Z,12,ch2o,471412
2025-10-08T03:00:00Z,12,ch2o,471412
2025-10-08T04:00:00Z,12,ch2o,471412
2025-10-08T05:00:00Z,11.75,ch2o,471412
2025-10-08T06:00:00Z,11,ch2o,471412
2025-10-08T07:00:00Z,11.2,ch2o,471412
2025-10-08T08:00:00Z,12,ch2o,471412
2025-10-08T09:00:00Z,12,ch2o,471412
2025-10-08T10:00:00Z,12,ch2o,471412
2025-10-08T11:00:00Z,12,ch2o,471412
2025-10-08T12:00:00Z,12,ch2o,471412
2025-10-08T13:00:00Z,12,ch2o,471412
2025-10-08T14:00:00Z,12,ch2o,471412
2025-10-08T15:00:00Z,12,ch2o,471412
2025-10-08T16:00:00Z,12,ch2o,471412
2025-10-08T17:00:00Z,12,ch2o,471412
2025-10-08T18:00:00Z,12,ch2o,471412
2025-10-08T19:00:00Z,12,ch2o,471412
2025-10-08T20:00:00Z,12.75,ch2o,471412
2025-10-08T21:00:00Z,13,ch2o,471412
2025-10-08T22:00:00Z,12.25,ch2o,471412
2025-10-08T23:00:00Z,12,ch2o,471412
2025-10-09T00:00:00Z,12.5,ch2o,471412
2025-10-09T01:00:00Z,13,ch2o,471412
2025-10-09T02:00:00Z,12.5,ch2o,471412
2025-10-09T03:00:00Z,12,ch2o,471412
2025-10-09T04:00:00Z,12,ch2o,471412
2025-10-09T05:00:00Z,12,ch2o,471412
2025-10-09T06:00:00Z,12,ch2o,471412
2025-10-09T07:00:00Z,12,ch2o,471412
2025-10-09T08:00:00Z,12.33,ch2o,471412
2025-10-09T09:00:00Z,13,ch2o,471412
2025-10-09T10:00:00Z,13,ch2o,471412
2025-10-09T11:00:00Z,13,ch2o,471412
2025-10-09T12:00:00Z,13,ch2o,471412
2025-10-09T13:00:00Z,13,ch2o,471412
2025-10-09T14:00:00Z,13,ch2o,471412
2025-10-09T15:00:00Z,13,ch2o,471412
2025-10-09T16:00:00Z,13.8,ch2o,471412
2025-10-09T17:00:00Z,13,ch2o,471412
2025-10-09T18:00:00Z,13,ch2o,471412
2025-10-09T19:00:00Z,13,ch2o,471412
2025-10-07T04:00:00Z,13,ch2o,471433
2025-10-07T05:00:00Z,13,ch2o,471433
2025-10-07T06:00:00Z,13,ch2o,471433
2025-10-07T07:00:00Z,13,ch2o,471433
2025-10-07T08:00:00Z,13,ch2o,471433
2025-10-07T09:00:00Z,13,ch2o,471433
2025-10-07T10:00:00Z,13,ch2o,471433
2025-10-07T11:00:00Z,13,ch2o,471433
2025-10-07T12:00:00Z,13,ch2o,471433
2025-10-07T13:00:00Z,13,ch2o,471433
2025-10-07T14:00:00Z,13,ch2o,471433
2025-10-07T15:00:00Z,13,ch2o,471433
2025-10-07T16:00:00Z,13,ch2o,471433
2025-10-07T17:00:00Z,13,ch2o,471433
2025-10-07T18:00:00Z,13,ch2o,471433
2025-10-07T19:00:00Z,13,ch2o,471433
2025-10-07T20:00:00Z,13,ch2o,471433
2025-10-07T21:00:00Z,13,ch2o,471433
2025-10-07T22:00:00Z,13,ch2o,471433
2025-10-07T23:00:00Z,13,ch2o,471433
2025-10-08T00:00:00Z,13,ch2o,471433
2025-10-08T01:00:00Z,13,ch2o,471433
2025-10-08T02:00:00Z,13,ch2o,471433
2025-10-08T03:00:00Z,13,ch2o,471433
2025-10-08T04:00:00Z,13,ch2o,471433
2025-10-08T05:00:00Z,13,ch2o,471433
2025-10-08T06:00:00Z,13,ch2o,471433
2025-10-07T04:00:00Z,13,ch2o,471445
2025-10-07T05:00:00Z,13,ch2o,471445
2025-10-07T06:00:00Z,13,ch2o,471445
2025-10-07T07:00:00Z,13,ch2o,471445
2025-10-07T08:00:00Z,13,ch2o,471445
2025-10-07T09:00:00Z,13,ch2o,471445
2025-10-07T10:00:00Z,13,ch2o,471445
2025-10-07T11:00:00Z,13,ch2o,471445
2025-10-07T12:00:00Z,13,ch2o,471445
2025-10-07T13:00:00Z,13,ch2o,471445
2025-10-07T14:00:00Z,12.25,ch2o,471445
2025-10-07T15:00:00Z,12,ch2o,471445
2025-10-07T16:00:00Z,11.25,ch2o,471445
2025-10-07T17:00:00Z,11,ch2o,471445
2025-10-07T18:00:00Z,9.5,ch2o,471445
2025-10-07T19:00:00Z,9,ch2o,471445
2025-10-07T20:00:00Z,8.5,ch2o,471445
2025-10-07T21:00:00Z,8,ch2o,471445
2025-10-07T22:00:00Z,8,ch2o,471445
2025-10-07T23:00:00Z,8,ch2o,471445
2025-10-08T00:00:00Z,8,ch2o,471445
2025-10-08T01:00:00Z,8,ch2o,471445
2025-10-08T02:00:00Z,8,ch2o,471445
2025-10-08T03:00:00Z,8,ch2o,471445
2025-10-08T04:00:00Z,8,ch2o,471445
2025-10-08T05:00:00Z,8,ch2o,471445
2025-10-08T06:00:00Z,9.25,ch2o,471445
2025-10-08T07:00:00Z,13,ch2o,471445
2025-10-08T08:00:00Z,12,ch2o,471445
2025-10-08T09:00:00Z,9,ch2o,471445
2025-10-08T10:00:00Z,9,ch2o,471445
2025-10-08T11:00:00Z,9,ch2o,471445
2025-10-08T12:00:00Z,9,ch2o,471445
2025-10-08T13:00:00Z,10,ch2o,471445
2025-10-08T14:00:00Z,10,ch2o,471445
2025-10-08T15:00:00Z,14,ch2o,471445
2025-10-08T16:00:00Z,14,ch2o,471445
2025-10-08T17:00:00Z,15.8,ch2o,471445
2025-10-08T18:00:00Z,16,ch2o,471445
2025-10-08T19:00:00Z,14.5,ch2o,471445
2025-10-08T20:00:00Z,14,ch2o,471445
2025-10-08T21:00:00Z,13.25,ch2o,471445
2025-10-08T22:00:00Z,13,ch2o,471445
2025-10-08T23:00:00Z,10.75,ch2o,471445
2025-10-09T00:00:00Z,10,ch2o,471445
2025-10-09T01:00:00Z,9.4,ch2o,471445
2025-10-09T02:00:00Z,9,ch2o,471445
2025-10-09T03:00:00Z,10.5,ch2o,471445
2025-10-09T04:00:00Z,12,ch2o,471445
2025-10-09T05:00:00Z,11,ch2o,471445
2025-10-09T06:00:00Z,10,ch2o,471445
2025-10-09T07:00:00Z,11.5,ch2o,471445
2025-10-09T08:00:00Z,13,ch2o,471445
2025-10-09T09:00:00Z,13,ch2o,471445
2025-10-09T10:00:00Z,13,ch2o,471445
2025-10-09T11:00:00Z,14,ch2o,471445
2025-10-09T12:00:00Z,16,ch2o,471445
2025-10-09T13:00:00Z,19,ch2o,471445
2025-10-09T14:00:00Z,24,ch2o,471445
2025-10-09T15:00:00Z,25.6,ch2o,471445
2025-10-09T16:00:00Z,33.5,ch2o,471445
2025-10-09T17:00:00Z,33.75,ch2o,471445
2025-10-09T18:00:00Z,30,ch2o,471445
2025-10-09T19:00:00Z,30,ch2o,471445
2025-10-09T20:00:00Z,27.2,ch2o,471445
2025-10-09T21:00:00Z,27,ch2o,471445
2025-10-09T22:00:00Z,26.8,ch2o,471445
2025-10-09T23:00:00Z,27,ch2o,471445
2025-10-10T00:00:00Z,21,ch2o,471445
2025-10-07T04:00:00Z,10,ch2o,471493
2025-10-07T05:00:00Z,10,ch2o,471493
2025-10-07T06:00:00Z,10,ch2o,471493
2025-10-07T07:00:00Z,10,ch2o,471493
2025-10-07T08:00:00Z,10,ch2o,471493
2025-10-07T09:00:00Z,10,ch2o,471493
2025-10-07T10:00:00Z,10,ch2o,471493
2025-10-07T11:00:00Z,10.8,ch2o,471493
2025-10-07T12:00:00Z,11,ch2o,471493
2025-10-07T13:00:00Z,10.25,ch2o,471493
2025-10-07T14:00:00Z,10,ch2o,471493
2025-10-07T15:00:00Z,10,ch2o,471493
2025-10-07T16:00:00Z,10,ch2o,471493
2025-10-07T17:00:00Z,10.6,ch2o,471493
2025-10-07T18:00:00Z,11,ch2o,471493
2025-10-07T19:00:00Z,10.75,ch2o,471493
2025-10-07T20:00:00Z,11,ch2o,471493
2025-10-07T21:00:00Z,10.8,ch2o,471493
2025-10-07T22:00:00Z,11,ch2o,471493
2025-10-07T23:00:00Z,10.33,ch2o,471493
2025-10-08T00:00:00Z,10,ch2o,471493
2025-10-08T01:00:00Z,10,ch2o,471493
2025-10-08T02:00:00Z,10,ch2o,471493
2025-10-08T03:00:00Z,9.6,ch2o,471493
2025-10-08T04:00:00Z,9,ch2o,471493
2025-10-08T05:00:00Z,9,ch2o,471493
2025-10-08T06:00:00Z,9,ch2o,471493
2025-10-08T07:00:00Z,9,ch2o,471493
2025-10-08T08:00:00Z,9,ch2o,471493
2025-10-08T09:00:00Z,9,ch2o,471493
2025-10-08T10:00:00Z,9,ch2o,471493
2025-10-08T11:00:00Z,9,ch2o,471493
2025-10-08T12:00:00Z,9,ch2o,471493
2025-10-08T13:00:00Z,9,ch2o,471493
2025-10-08T14:00:00Z,9,ch2o,471493
2025-10-08T15:00:00Z,9,ch2o,471493
2025-10-08T16:00:00Z,9,ch2o,471493
2025-10-08T17:00:00Z,9,ch2o,471493
2025-10-08T18:00:00Z,9,ch2o,471493
2025-10-08T19:00:00Z,9,ch2o,471493
2025-10-08T20:00:00Z,9.75,ch2o,471493
2025-10-08T21:00:00Z,10,ch2o,471493
2025-10-08T22:00:00Z,9.8,ch2o,471493
2025-10-08T23:00:00Z,10,ch2o,471493
2025-10-09T00:00:00Z,10,ch2o,471493
2025-10-09T01:00:00Z,10,ch2o,471493
2025-10-09T02:00:00Z,10,ch2o,471493
2025-10-09T03:00:00Z,10,ch2o,471493
2025-10-09T04:00:00Z,10,ch2o,471493
2025-10-09T05:00:00Z,10,ch2o,471493
2025-10-09T06:00:00Z,9.5,ch2o,471493
2025-10-09T07:00:00Z,9,ch2o,471493
2025-10-09T08:00:00Z,9.5,ch2o,471493
2025-10-09T09:00:00Z,10,ch2o,471493
2025-10-09T10:00:00Z,10,ch2o,471493
2025-10-09T11:00:00Z,10,ch2o,471493
2025-10-09T12:00:00Z,10,ch2o,471493
2025-10-09T13:00:00Z,10,ch2o,471493
2025-10-09T14:00:00Z,9.75,ch2o,471493
2025-10-09T15:00:00Z,9,ch2o,471493
2025-10-09T16:00:00Z,8.75,ch2o,471493
2025-10-09T17:00:00Z,8,ch2o,471493
2025-10-09T18:00:00Z,9,ch2o,471493
2025-10-09T19:00:00Z,12.4,ch2o,471493
2025-10-09T20:00:00Z,12,ch2o,471493
2025-10-09T21:00:00Z,10.8,ch2o,471493
2025-10-09T22:00:00Z,11,ch2o,471493
2025-10-09T23:00:00Z,11.8,ch2o,471493
2025-10-10T00:00:00Z,12,ch2o,471493
2025-10-07T08:00:00Z,12,ch2o,475240
2025-10-07T09:00:00Z,12,ch2o,475240
2025-10-07T10:00:00Z,13,ch2o,475240
2025-10-07T11:00:00Z,13,ch2o,475240
2025-10-07T12:00:00Z,12,ch2o,475240
2025-10-07T13:00:00Z,12,ch2o,475240
2025-10-07T14:00:00Z,12,ch2o,475240
2025-10-07T15:00:00Z,12,ch2o,475240
2025-10-07T16:00:00Z,12,ch2o,475240
2025-10-07T17:00:00Z,12,ch2o,475240
2025-10-07T18:00:00Z,12,ch2o,475240
2025-10-07T19:00:00Z,12,ch2o,475240
2025-10-07T20:00:00Z,12,ch2o,475240
2025-10-07T21:00:00Z,12,ch2o,475240
2025-10-07T22:00:00Z,12,ch2o,475240
2025-10-07T23:00:00Z,12,ch2o,475240
2025-10-08T00:00:00Z,11.5,ch2o,475240
2025-10-08T01:00:00Z,11,ch2o,475240
2025-10-08T02:00:00Z,11.25,ch2o,475240
2025-10-08T03:00:00Z,11,ch2o,475240
2025-10-08T04:00:00Z,11.25,ch2o,475240
2025-10-08T05:00:00Z,11,ch2o,475240
2025-10-08T06:00:00Z,11.25,ch2o,475240
2025-10-08T07:00:00Z,11,ch2o,475240
2025-10-08T08:00:00Z,10.8,ch2o,475240
2025-10-08T09:00:00Z,11,ch2o,475240
2025-10-08T10:00:00Z,11,ch2o,475240
2025-10-08T11:00:00Z,11,ch2o,475240
2025-10-08T12:00:00Z,11,ch2o,475240
2025-10-08T13:00:00Z,11,ch2o,475240
2025-10-08T14:00:00Z,11,ch2o,475240
2025-10-08T15:00:00Z,12,ch2o,475240
2025-10-08T16:00:00Z,12,ch2o,475240
2025-10-08T17:00:00Z,12,ch2o,475240
2025-10-08T18:00:00Z,12,ch2o,475240
2025-10-08T19:00:00Z,12,ch2o,475240
2025-10-08T20:00:00Z,12,ch2o,475240
2025-10-08T21:00:00Z,12,ch2o,475240
2025-10-08T22:00:00Z,12,ch2o,475240
2025-10-08T23:00:00Z,12,ch2o,475240
2025-10-09T00:00:00Z,12,ch2o,475240
2025-10-09T01:00:00Z,12,ch2o,475240
2025-10-09T02:00:00Z,12,ch2o,475240
2025-10-09T03:00:00Z,12,ch2o,475240
2025-10-09T04:00:00Z,12,ch2o,475240
2025-10-09T05:00:00Z,12,ch2o,475240
2025-10-09T06:00:00Z,12,ch2o,475240
2025-10-09T07:00:00Z,12.33,ch2o,475240
2025-10-09T08:00:00Z,13,ch2o,475240
2025-10-09T09:00:00Z,12.75,ch2o,475240
2025-10-09T10:00:00Z,12,ch2o,475240
2025-10-09T11:00:00Z,12,ch2o,475240
2025-10-09T12:00:00Z,12,ch2o,475240
2025-10-09T13:00:00Z,12,ch2o,475240
2025-10-09T14:00:00Z,12,ch2o,475240
2025-10-09T15:00:00Z,12,ch2o,475240
2025-10-09T16:00:00Z,12,ch2o,475240
2025-10-09T17:00:00Z,12,ch2o,475240
2025-10-09T18:00:00Z,12,ch2o,475240
2025-10-09T19:00:00Z,12,ch2o,475240
2025-10-09T20:00:00Z,13,ch2o,475240
2025-10-09T21:00:00Z,13,ch2o,475240
2025-10-09T22:00:00Z,13,ch2o,475240
2025-10-09T23:00:00Z,13,ch2o,475240
2025-10-10T00:00:00Z,13,ch2o,475240
2025-10-10T01:00:00Z,13,ch2o,475240
2025-10-10T02:00:00Z,13,ch2o,475240
2025-10-10T03:00:00Z,13,ch2o,475240
2025-10-07T04:00:00Z,8.8,ch2o,475333
2025-10-07T05:00:00Z,13.33,ch2o,475333
2025-10-07T06:00:00Z,10.71,ch2o,475333
2025-10-07T07:00:00Z,11.78,ch2o,475333
2025-10-07T08:00:00Z,12,ch2o,475333
2025-10-07T09:00:00Z,9.5,ch2o,475333
2025-10-07T10:00:00Z,10.78,ch2o,475333
2025-10-07T11:00:00Z,11.33,ch2o,475333
2025-10-07T15:00:00Z,10.67,ch2o,475333
2025-10-07T16:00:00Z,11,ch2o,475333
2025-10-07T17:00:00Z,11.5,ch2o,475333
2025-10-07T18:00:00Z,12,ch2o,475333
2025-10-07T19:00:00Z,10.6,ch2o,475333
2025-10-07T20:00:00Z,11,ch2o,475333
2025-10-07T21:00:00Z,11.33,ch2o,475333
2025-10-07T22:00:00Z,12,ch2o,475333
2025-10-07T23:00:00Z,11.29,ch2o,475333
2025-10-08T00:00:00Z,13,ch2o,475333
2025-10-08T01:00:00Z,11.8,ch2o,475333
2025-10-08T02:00:00Z,11.6,ch2o,475333
2025-10-08T03:00:00Z,11.4,ch2o,475333
2025-10-08T04:00:00Z,11.4,ch2o,475333
2025-10-08T05:00:00Z,12.5,ch2o,475333
2025-10-08T06:00:00Z,10.4,ch2o,475333
2025-10-08T07:00:00Z,10.86,ch2o,475333
2025-10-08T08:00:00Z,10.6,ch2o,475333
2025-10-08T09:00:00Z,11.2,ch2o,475333
2025-10-08T10:00:00Z,12.14,ch2o,475333
2025-10-08T11:00:00Z,11.4,ch2o,475333
2025-10-08T12:00:00Z,11.4,ch2o,475333
2025-10-08T13:00:00Z,11.75,ch2o,475333
2025-10-08T14:00:00Z,11.25,ch2o,475333
2025-10-08T15:00:00Z,10.88,ch2o,475333
2025-10-08T16:00:00Z,11.5,ch2o,475333
2025-10-08T17:00:00Z,11.33,ch2o,475333
2025-10-08T18:00:00Z,11.29,ch2o,475333
2025-10-08T19:00:00Z,10,ch2o,475333
2025-10-08T20:00:00Z,10,ch2o,475333
2025-10-08T21:00:00Z,10.83,ch2o,475333
2025-10-08T22:00:00Z,11.5,ch2o,475333
2025-10-08T23:00:00Z,11.2,ch2o,475333
2025-10-09T00:00:00Z,10.67,ch2o,475333
2025-10-09T01:00:00Z,10.43,ch2o,475333
2025-10-09T02:00:00Z,9.5,ch2o,475333
2025-10-09T03:00:00Z,11.5,ch2o,475333
2025-10-09T04:00:00Z,10.2,ch2o,475333
2025-10-09T05:00:00Z,10.25,ch2o,475333
2025-10-09T06:00:00Z,10.33,ch2o,475333
2025-10-09T07:00:00Z,10.75,ch2o,475333
2025-10-09T08:00:00Z,10.4,ch2o,475333
2025-10-09T09:00:00Z,10.5,ch2o,475333
2025-10-09T10:00:00Z,9.67,ch2o,475333
2025-10-09T11:00:00Z,9.67,ch2o,475333
2025-10-09T12:00:00Z,10,ch2o,475333
2025-10-09T13:00:00Z,9.8,ch2o,475333
2025-10-09T14:00:00Z,11,ch2o,475333
2025-10-09T15:00:00Z,12.63,ch2o,475333
2025-10-09T16:00:00Z,17.5,ch2o,475333
2025-10-09T17:00:00Z,13.25,ch2o,475333
2025-10-09T18:00:00Z,12.22,ch2o,475333
2025-10-09T19:00:00Z,9.5,ch2o,475333
2025-10-09T20:00:00Z,10.2,ch2o,475333
2025-10-09T21:00:00Z,9.88,ch2o,475333
2025-10-09T22:00:00Z,10.5,ch2o,475333
2025-10-09T23:00:00Z,9.4,ch2o,475333
2025-10-10T00:00:00Z,9.5,ch2o,475333
2025-10-10T01:00:00Z,9.25,ch2o,475333
2025-10-10T02:00:00Z,9.75,ch2o,475333
2025-10-07T04:00:00Z,14,ch2o,515524
2025-10-07T05:00:00Z,14,ch2o,515524
2025-10-07T06:00:00Z,14,ch2o,515524
2025-10-07T07:00:00Z,14,ch2o,515524
2025-10-07T08:00:00Z,14,ch2o,515524
2025-10-07T09:00:00Z,15.4,ch2o,515524
2025-10-07T10:00:00Z,16,ch2o,515524
2025-10-07T11:00:00Z,15.25,ch2o,515524
2025-10-07T12:00:00Z,15,ch2o,515524
2025-10-07T13:00:00Z,13.5,ch2o,515524
2025-10-07T14:00:00Z,13,ch2o,515524
2025-10-07T15:00:00Z,13,ch2o,515524
2025-10-07T16:00:00Z,13,ch2o,515524
2025-10-07T17:00:00Z,13,ch2o,515524
2025-10-07T18:00:00Z,13,ch2o,515524
2025-10-07T19:00:00Z,13,ch2o,515524
2025-10-07T20:00:00Z,13,ch2o,515524
2025-10-07T21:00:00Z,13,ch2o,515524
2025-10-07T22:00:00Z,13,ch2o,515524
2025-10-07T23:00:00Z,13,ch2o,515524
2025-10-08T00:00:00Z,13,ch2o,515524
2025-10-08T01:00:00Z,13,ch2o,515524
2025-10-08T02:00:00Z,13,ch2o,515524
2025-10-08T03:00:00Z,13,ch2o,515524
2025-10-08T04:00:00Z,13,ch2o,515524
2025-10-08T05:00:00Z,13,ch2o,515524
2025-10-08T06:00:00Z,13,ch2o,515524
2025-10-08T07:00:00Z,13,ch2o,515524
2025-10-08T08:00:00Z,13,ch2o,515524
2025-10-08T09:00:00Z,13,ch2o,515524
2025-10-08T10:00:00Z,13,ch2o,515524
2025-10-08T11:00:00Z,13,ch2o,515524
2025-10-08T12:00:00Z,13,ch2o,515524
2025-10-08T13:00:00Z,13,ch2o,515524
2025-10-08T14:00:00Z,13,ch2o,515524
2025-10-08T15:00:00Z,13,ch2o,515524
2025-10-08T16:00:00Z,13,ch2o,515524
2025-10-08T17:00:00Z,13,ch2o,515524
2025-10-08T18:00:00Z,14,ch2o,515524
2025-10-08T19:00:00Z,14,ch2o,515524
2025-10-08T20:00:00Z,13.8,ch2o,515524
2025-10-08T21:00:00Z,14,ch2o,515524
2025-10-08T22:00:00Z,14,ch2o,515524
2025-10-08T23:00:00Z,14,ch2o,515524
2025-10-09T00:00:00Z,13.33,ch2o,515524
2025-10-09T01:00:00Z,13,ch2o,515524
2025-10-09T02:00:00Z,14.5,ch2o,515524
2025-10-09T03:00:00Z,15,ch2o,515524
2025-10-09T04:00:00Z,14,ch2o,515524
2025-10-09T05:00:00Z,13,ch2o,515524
2025-10-09T06:00:00Z,13,ch2o,515524
2025-10-09T07:00:00Z,13,ch2o,515524
2025-10-09T08:00:00Z,15,ch2o,515524
2025-10-09T09:00:00Z,16,ch2o,515524
2025-10-09T10:00:00Z,15.5,ch2o,515524
2025-10-09T11:00:00Z,14,ch2o,515524
2025-10-09T12:00:00Z,14.6,ch2o,515524
2025-10-09T13:00:00Z,15,ch2o,515524
2025-10-09T14:00:00Z,15.25,ch2o,515524
2025-10-09T15:00:00Z,15,ch2o,515524
2025-10-09T16:00:00Z,14.75,ch2o,515524
2025-10-09T17:00:00Z,15.8,ch2o,515524
2025-10-09T18:00:00Z,16,ch2o,515524
2025-10-09T19:00:00Z,19.2,ch2o,515524
2025-10-09T20:00:00Z,19.25,ch2o,515524
2025-10-09T21:00:00Z,25.5,ch2o,515524
2025-10-09T22:00:00Z,26,ch2o,515524
2025-10-09T23:00:00Z,31.6,ch2o,515524
2025-10-07T04:00:00Z,11,ch2o,533707
2025-10-07T05:00:00Z,11,ch2o,533707
2025-10-07T06:00:00Z,10.75,ch2o,533707
2025-10-07T07:00:00Z,11,ch2o,533707
2025-10-07T08:00:00Z,11.8,ch2o,533707
2025-10-07T09:00:00Z,12,ch2o,533707
2025-10-07T10:00:00Z,11.25,ch2o,533707
2025-10-07T11:00:00Z,11,ch2o,533707
2025-10-07T12:00:00Z,11.75,ch2o,533707
2025-10-07T13:00:00Z,12,ch2o,533707
2025-10-07T14:00:00Z,12,ch2o,533707
2025-10-07T15:00:00Z,12,ch2o,533707
2025-10-07T16:00:00Z,11.2,ch2o,533707
2025-10-07T17:00:00Z,11,ch2o,533707
2025-10-07T18:00:00Z,11.2,ch2o,533707
2025-10-07T19:00:00Z,11,ch2o,533707
2025-10-07T20:00:00Z,11.5,ch2o,533707
2025-10-07T21:00:00Z,12,ch2o,533707
2025-10-07T22:00:00Z,12,ch2o,533707
2025-10-07T23:00:00Z,12,ch2o,533707
2025-10-07T04:00:00Z,11,ch2o,533710
2025-10-07T05:00:00Z,11.8,ch2o,533710
2025-10-07T06:00:00Z,12,ch2o,533710
2025-10-07T07:00:00Z,10.67,ch2o,533710
2025-10-07T08:00:00Z,11,ch2o,533710
2025-10-07T09:00:00Z,11.2,ch2o,533710
2025-10-07T10:00:00Z,11,ch2o,533710
2025-10-07T11:00:00Z,11.75,ch2o,533710
2025-10-07T12:00:00Z,12,ch2o,533710
2025-10-07T13:00:00Z,11.2,ch2o,533710
2025-10-07T14:00:00Z,11,ch2o,533710
2025-10-07T15:00:00Z,11,ch2o,533710
2025-10-07T16:00:00Z,11,ch2o,533710
2025-10-07T17:00:00Z,11.5,ch2o,533710
2025-10-07T18:00:00Z,12,ch2o,533710
2025-10-07T19:00:00Z,11.33,ch2o,533710
2025-10-07T20:00:00Z,11,ch2o,533710
2025-10-07T21:00:00Z,11.2,ch2o,533710
2025-10-07T22:00:00Z,11,ch2o,533710
2025-10-07T23:00:00Z,10.67,ch2o,533710
2025-10-08T00:00:00Z,10,ch2o,533710
2025-10-08T01:00:00Z,9.75,ch2o,533710
2025-10-08T02:00:00Z,9,ch2o,533710
2025-10-08T03:00:00Z,9,ch2o,533710
2025-10-08T04:00:00Z,9,ch2o,533710
2025-10-08T05:00:00Z,8.8,ch2o,533710
2025-10-08T06:00:00Z,8,ch2o,533710
2025-10-08T07:00:00Z,8,ch2o,533710
2025-10-08T08:00:00Z,9,ch2o,533710
2025-10-08T09:00:00Z,9,ch2o,533710
2025-10-08T10:00:00Z,8,ch2o,533710
2025-10-08T11:00:00Z,8,ch2o,533710
